,Condition,Drugs
12,Asthma Bronchial,"[Aminophylline, Salmeterol, Orciprenaline, Dexamethasone, Nedocromil, Cromoglicic acid, Ciclesonide, Ipratropium, Methylprednisolone, Zafirlukast, Flunisolide, Montelukast, Tiotropium, Prednisone, Budesonide, Vilanterol, Hydrocortisone, Ephedrine, Fluticasone furoate, Beclomethasone dipropionate, Mometasone]"
13,Osteoarthritis (OA),"[Nabumetone, Celecoxib, Tolmetin, Tenoxicam, Naproxen, Ranitidine, Etodolac, Bupivacaine, Ketoprofen, Piroxicam, Flurbiprofen, Meloxicam, Oxaprozin, Sulindac, Diflunisal, Fenoprofen, Meclofenamic acid, Tiaprofenic acid, Diclofenac, Indometacin, Ibuprofen]"
14,Pain NOS,"[Oxandrolone, Cyclobenzaprine, Tolmetin, Codeine, Tenoxicam, Naproxen, Ketoprofen, Nepafenac, Carbamazepine, Medroxyprogesterone acetate, Butorphanol, Dextropropoxyphene, Chlorzoxazone, Methadone, Acetaminophen, Dienogest, Diclofenac, Leuprolide, Acetylsalicylic acidCommonly known or available as Aspirin, Hydromorphone]"
15,Moderate Pain,"[Caffeine, Buprenorphine, Codeine, Pentazocine, Meperidine, Mefenamic acid, Dihydrocodeine, Diflunisal, Tramadol, Fenoprofen, Meclofenamic acid, Acetaminophen, Nalbuphine, Naloxone, Methoxyflurane, Ibuprofen, Cannabidiol, Hydrocodone, Acetylsalicylic acidCommonly known or available as Aspirin]"
16,Human Immunodeficiency Virus Type 1 (HIV-1) Infection,"[Lopinavir, Fosamprenavir, Abacavir, Raltegravir, Emtricitabine, Didanosine, Saquinavir, Tipranavir, Atazanavir, Darunavir, Cobicistat, Rilpivirine, Maraviroc, Nelfinavir, Elvitegravir, Indinavir, Delavirdine, Efavirenz, Dolutegravir]"
17,Severe Pain,"[Zucapsaicin, Buprenorphine, Codeine, Pentazocine, Meperidine, Naltrexone, Dihydrocodeine, Butorphanol, Tramadol, Acetaminophen, Morphine, Nalbuphine, Naloxone, Methoxyflurane, Ibuprofen, Cannabidiol, Hydrocodone, Acetylsalicylic acidCommonly known or available as Aspirin, Oxycodone]"
18,Seasonal Allergic Rhinitis (SAR),"[Cetirizine, Loratadine, Dexamethasone, Cromoglicic acid, Ciclesonide, Triprolidine, Levocetirizine, Methylprednisolone, Promethazine, Prednisolone, Azelastine, Montelukast, Acrivastine, Olopatadine, Fexofenadine, Desloratadine, Fluticasone furoate, Cyproheptadine, Beclomethasone dipropionate]"
19,Urinary Tract Infections (UTIs),"[Polymyxin B, Cefuroxime, Methenamine, Phenazopyridine, Cefprozil, Amoxicillin, Trimethoprim, Sulfadiazine, Streptomycin, Cefadroxil, Ampicillin, Doxycycline, Flavoxate, Minocycline, Ceftazidime, Nitrofurantoin, Tetracycline, Aztreonam, Demeclocycline]"
20,"Conjunctivitis, Seasonal Allergic","[Dexamethasone, Loteprednol, Triprolidine, Emedastine, Epinastine, Alcaftadine, Methylprednisolone, Promethazine, Carbinoxamine, Prednisolone, Azelastine, Ketotifen, Prednisone, Olopatadine, Diclofenac, Hydrocortisone, Pheniramine, Cyproheptadine]"
21,Nonvalvular Atrial Fibrillation,"[Esmolol, Ibutilide, Propranolol, Metoprolol, Carvedilol, Diltiazem, Verapamil, Amiodarone, Sotalol, Propafenone, Dronedarone, Bisoprolol, Pindolol, Vernakalant, Nadolol, Flecainide, Atenolol]"
22,Allergic Rhinitis (AR),"[Diphenhydramine, Chlorcyclizine, Rupatadine, Carbinoxamine, Flunisolide, Diphenylpyraline, Levocabastine, Mepyramine, Triamcinolone, Prednisone, Clemastine, Brompheniramine, Dexbrompheniramine, Budesonide, Hydrocortisone, Chlorphenamine, Mometasone]"
23,Depression,"[Amoxapine, Perphenazine, Amphetamine, Isocarboxazid, Buspirone, Protriptyline, Pipradrol, Nefazodone, St. John's Wort, Pindolol, Amitriptyline, Chlordiazepoxide, Trimipramine, Desipramine, Clomipramine, Citalopram]"
24,Dermatosis,"[Fluocinolone acetonide, Flurandrenolide, Clocortolone, Clioquinol, Diflorasone, Prednicarbate, Betamethasone, Desonide, Flumethasone, Alclometasone, Neomycin, Hydrocortisone, Halcinonide, Pramocaine, Mometasone, Fluocinonide]"
25,Acute Gouty Arthritis,"[Tetracosactide, Dexamethasone, Naproxen, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Sulindac, Triamcinolone, Meclofenamic acid, Prednisone, Diclofenac, Indometacin, Hydrocortisone, Ibuprofen, Corticotropin]"
26,Heartburn,"[Aluminum hydroxide, Magaldrate, Omeprazole, Ranitidine, Cimetidine, Sodium bicarbonate, Sodium citrate, Dexlansoprazole, Magnesium oxide, Calcium Carbonate, Famotidine, Rabeprazole, Citric acid, Magnesium carbonate, Magnesium hydroxide, Esomeprazole]"
27,Diabetic Nephropathies,"[Ramipril, Telmisartan, Trandolapril, Captopril, Fosinopril, Olmesartan, Valsartan, Enalapril, Benazepril, Irbesartan, Losartan, Quinapril, Perindopril, Eprosartan, Lisinopril]"
28,Attention Deficit Disorder With Hyperactivity (ADHD),"[Nortriptyline, Bupropion, Clonidine, Amphetamine, Dexmethylphenidate, Dextroamphetamine, Selegiline, Imipramine, Metamfetamine, Amitriptyline, Modafinil, Lisdexamfetamine, Methylphenidate, Atomoxetine, Guanfacine]"
29,Metastatic Melanoma,"[Pembrolizumab, Cisplatin, Dacarbazine, Imatinib, Cobimetinib, Nivolumab, Aldesleukin, Ipilimumab, Encorafenib, Vinblastine, Trametinib, Binimetinib, Dabrafenib, Paclitaxel, Vemurafenib]"
30,Ulcerative Colitis (UC),"[Tetracosactide, Mesalazine, Dexamethasone, Mercaptopurine, Infliximab, Methylprednisolone, Betamethasone, Bupivacaine, Olsalazine, Prednisolone, Triamcinolone, Prednisone, Budesonide, Hydrocortisone]"
31,Strokes,"[Ramipril, Hydrochlorothiazide, Alirocumab, Dabigatran etexilate, Apixaban, Ticlopidine, Dipyridamole, Atorvastatin, Pravastatin, Rivaroxaban, Edoxaban, Losartan, Perindopril, Acetylsalicylic acidCommonly known or available as Aspirin]"
32,Congestive Heart Failure (CHF),"[Hydrochlorothiazide, Spironolactone, Reteplase, Milrinone, Captopril, Atorvastatin, Amiloride, Nitroprusside, Nitroglycerin, Isoprenaline, Quinapril, Cilazapril, Eprosartan, Lisinopril]"
33,Partial onset seizure Epilepsy,"[Gabapentin, Brivaracetam, Perampanel, Lamotrigine, Zonisamide, Carbamazepine, Lacosamide, Tiagabine, Phenobarbital, Oxcarbazepine, Pregabalin, Topiramate, Vigabatrin, Levetiracetam]"
34,Perennial Allergic Rhinitis (PAR),"[Cetirizine, Dexamethasone, Cromoglicic acid, Ciclesonide, Triprolidine, Levocetirizine, Ipratropium, Methylprednisolone, Prednisolone, Azelastine, Montelukast, Desloratadine, Fluticasone furoate, Beclomethasone dipropionate]"
35,Chronic Obstructive Pulmonary Disease (COPD),"[Salmeterol, Formoterol, Ipratropium, Glycopyrronium, Roflumilast, Umeclidinium, Tiotropium, Aclidinium, Budesonide, Olodaterol, Indacaterol, Vilanterol, Fluticasone furoate, Beclomethasone dipropionate]"
36,Mycosis Fungoides (MF),"[Carmustine, Pentostatin, Dexamethasone, Isotretinoin, Methylprednisolone, Betamethasone, Bupivacaine, Doxorubicin, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone, Mechlorethamine]"
37,Tinea Cruris,"[Miconazole, Econazole, Clioquinol, Luliconazole, Naftifine, Ciclopirox, Griseofulvin, Butenafine, Tolnaftate, Clotrimazole, Sulconazole, Terbinafine, Oxiconazole]"
38,Tinea Pedis,"[Miconazole, Econazole, Clioquinol, Luliconazole, Naftifine, Ciclopirox, Griseofulvin, Butenafine, Tolnaftate, Clotrimazole, Sulconazole, Terbinafine, Oxiconazole]"
39,Nasal Stuffiness,"[Xylometazoline, Tetryzoline, Pseudoephedrine, Epinephrine, Oxymetazoline, Promethazine, Budesonide, Desloratadine, Naphazoline, Choline salicylate, Hydrocodone, Mometasone, Phenylephrine]"
40,Psoriatic Arthritis,"[Tetracosactide, Infliximab, Betamethasone, Bupivacaine, Prednisolone, Certolizumab pegol, Triamcinolone, Etanercept, Prednisone, Secukinumab, Hydrocortisone, Sodium aurothiomalate, Corticotropin]"
41,Bone and Joint Infections,"[Cefuroxime, Ceftriaxone, Ciprofloxacin, Cefazolin, Cefotaxime, Amikacin, Cefotetan, Cefoxitin, Imipenem, Ceftazidime, Metronidazole, Aztreonam, Cilastatin]"
42,Bloodstream Infections,"[Clindamycin, Cefuroxime, Cefazolin, Flucytosine, Cefoxitin, Anidulafungin, Imipenem, Ampicillin, Ceftazidime, Metronidazole, Aztreonam, Cloxacillin, Cilastatin]"
43,Parkinson's Disease (PD),"[Amantadine, Pramipexole, Rotigotine, Opicapone, Selegiline, Entacapone, Levodopa, Bromocriptine, Safinamide, Profenamine, Rasagiline, Tolcapone, Ropinirole]"
44,Skin Irritation,"[Aluminum hydroxide, Diphenhydramine, Sodium bicarbonate, Zinc acetate, Benzocaine, Fluconazole, Cinchocaine, Zinc oxide, Zinc, Hydrocortisone probutate, Camphor, Sodium chloride, Pramocaine]"
45,Streptococcal Pharyngitis,"[Clindamycin, Cefprozil, Amoxicillin, Clarithromycin, Cefixime, Phenoxymethylpenicillin, Cefditoren, Cefadroxil, Ceftibuten, Cefdinir, Azithromycin, Cefpodoxime, Cefaclor]"
46,Panic Disorders,"[Lorazepam, Fluoxetine, Sertraline, Paroxetine, Imipramine, Alprazolam, Clonazepam, Mirtazapine, Venlafaxine, Escitalopram, Desipramine, Clomipramine, Citalopram]"
47,Cardiovascular Events,"[Telmisartan, Vorapaxar, Dalteparin, Tirofiban, Ticagrelor, Canagliflozin, Bisoprolol, Clopidogrel, Sacubitril, Prasugrel, Simvastatin, Acetylsalicylic acidCommonly known or available as Aspirin, Lisinopril]"
48,Uveitis,"[Fluocinolone acetonide, Tetracosactide, Dexamethasone, Cyclophosphamide, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Ciclosporin, Triamcinolone, Prednisone, Azathioprine, Methotrexate]"
49,Intra-Abdominal Infections,"[Technetium Tc-99m exametazime, Clindamycin, Ceftriaxone, Cefotaxime, Amikacin, Cefotetan, Cefoxitin, Imipenem, Ceftazidime, Tobramycin, Aztreonam, Sulbactam, Cilastatin]"
50,Ocular inflammatory conditions,"[Polymyxin B, Bromfenac, Loteprednol, Difluprednate, Betamethasone, Prednisolone, Rimexolone, Triamcinolone, Prednisone, Diclofenac, Fluorometholone, Atropine]"
51,Systemic Lupus Erythematosus (SLE),"[Hydroxychloroquine, Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone, Corticotropin, Acetylsalicylic acidCommonly known or available as Aspirin, Methotrexate]"
52,"Rheumatoid Arthritis, Juvenile","[Celecoxib, Dexamethasone, Tolmetin, Naproxen, Methylprednisolone, Betamethasone, Oxaprozin, Prednisolone, Prednisone, Hydrocortisone, Sodium aurothiomalate, Corticotropin]"
53,Tinea Corporis,"[Miconazole, Econazole, Clioquinol, Luliconazole, Naftifine, Ciclopirox, Griseofulvin, Butenafine, Tolnaftate, Sulconazole, Terbinafine, Oxiconazole]"
54,Acute maxillary sinusitis caused by M. catarrhalis,"[Ceftriaxone, Cefotaxime, Amoxicillin, Cefixime, Budesonide, Levofloxacin, Fluticasone furoate, Sulbactam, Cefdinir, Azithromycin, Beclomethasone dipropionate, Mometasone]"
55,Streptococcal tonsillitis,"[Cefprozil, Amoxicillin, Clarithromycin, Cefixime, Phenoxymethylpenicillin, Cefditoren, Cefadroxil, Ceftibuten, Cefdinir, Azithromycin, Cefpodoxime, Cefaclor]"
56,Acne Vulgaris,"[Azelaic acid, Sulfacetamide, Clindamycin, Flutamide, Adapalene, Tretinoin, Dapsone, Triamcinolone, Prednisone, Benzoyl peroxide, Drospirenone, Erythromycin]"
57,Feeling Anxious,"[Lorazepam, Perphenazine, Methotrimeprazine, Diazepam, Oxazepam, Alprazolam, Phenobarbital, St. John's Wort, Chlordiazepoxide, Maprotiline, Trazodone, Acetylsalicylic acidCommonly known or available as Aspirin]"
58,Kidney Transplant Rejection,"[Antithymocyte immunoglobulin (rabbit), Tacrolimus, Alemtuzumab, Muromonab, Everolimus, Antilymphocyte immunoglobulin (horse), Ciclosporin, Basiliximab, Mycophenolic acid, Azathioprine, Belatacept]"
59,Heart Failure,"[Ramipril, Telmisartan, Trandolapril, Captopril, Fosinopril, Bisoprolol, Benazepril, Isosorbide dinitrate, Hydralazine, Atenolol, Losartan]"
60,Chronic Lymphocytic Leukaemia (CLL),"[Vincristine, Pentostatin, Venetoclax, Rituximab, Cyclophosphamide, Ibrutinib, Cladribine, Ofatumumab, Chlorambucil, Bendamustine, Mechlorethamine]"
61,Crohn's Disease (CD),"[Mesalazine, Mercaptopurine, Infliximab, Prednisolone, Sulfasalazine, Triamcinolone, Prednisone, Adalimumab, Azathioprine, Hydrocortisone, Methotrexate]"
62,Metastatic Non-Small Cell Lung Cancer,"[Atezolizumab, Docetaxel, Osimertinib, Crizotinib, Gefitinib, Necitumumab, Afatinib, Dacomitinib, Brigatinib, Paclitaxel, Erlotinib]"
63,"Cancer, Breast","[Trastuzumab, Cisplatin, Neratinib, Cyclophosphamide, Technetium Tc-99m sulfur colloid, Fluorouracil, Mitomycin, Anastrozole, Leuprolide, Tamoxifen, Methotrexate]"
64,Occasional Constipation,"[Sennosides, Polyethylene glycol, Sorbitol, Lubiprostone, Pyridostigmine, Bisacodyl, Sodium lauryl sulfoacetate, Magnesium sulfate, Lactulose, Magnesium hydroxide, Glycerin]"
65,Edema,"[Hydrochlorothiazide, Bumetanide, Torasemide, Triamterene, Spironolactone, Etacrynic acid, Furosemide, Chlorothiazide, Methyclothiazide, Acetazolamide, Metolazone]"
66,Multiple Myeloma (MM),"[Etoposide, Vincristine, Bortezomib, Cisplatin, Cyclophosphamide, Daratumumab, Doxorubicin, Melphalan, Ixazomib, Thalidomide, Lenalidomide]"
67,Obsessive Compulsive Disorder (OCD),"[Fluoxetine, Sertraline, Paroxetine, Haloperidol, Quetiapine, St. John's Wort, Mirtazapine, Fluvoxamine, Escitalopram, Clomipramine, Citalopram]"
68,Juvenile Idiopathic Arthritis (JIA),"[Leflunomide, Anakinra, Cyclophosphamide, Naproxen, Etodolac, Ciclosporin, Triamcinolone, Meclofenamic acid, Diclofenac, Ibuprofen, Acetylsalicylic acidCommonly known or available as Aspirin]"
69,Animal bite,"[Clindamycin, Cefuroxime, Tazobactam, Cefotaxime, Dicloxacillin, Phenoxymethylpenicillin, Cefoxitin, Piperacillin, Sulfamethoxazole, Levofloxacin, Sulbactam]"
70,Chronic Hepatitis C Genotype 1,"[Ledipasvir, Sofosbuvir, Asunaprevir, Glecaprevir, Pibrentasvir, Simeprevir, Grazoprevir, Elbasvir, Daclatasvir, Velpatasvir, Boceprevir]"
71,Coughing,"[Clofedanol, Codeine, Promethazine, Dyclonine, Homatropine methylbromide, Benzonatate, Dextromethorphan, Chlorphenamine, Choline salicylate, Hydrocodone, Alimemazine]"
72,Non-Hodgkin's Lymphoma (NHL),"[Etoposide, Vincristine, Ifosfamide, Procarbazine, Rituximab, Cyclophosphamide, Cytarabine, Chlorambucil, Mitoxantrone, Bleomycin]"
73,Gynaecological infection,"[Cefotaxime, Ertapenem, Cefotetan, Cefoxitin, Imipenem, Ceftazidime, Metronidazole, Aztreonam, Sulbactam, Cilastatin]"
74,Inflammatory Reaction,"[Dexamethasone, Loteprednol, Amcinonide, Methylprednisolone, Nepafenac, Diclofenac, Ketorolac, Bendazac, Acetylsalicylic acidCommonly known or available as Aspirin, Fluocinonide]"
75,Lower respiratory tract infection bacterial,"[Ceftriaxone, Cefotaxime, Cefotetan, Cefoxitin, Imipenem, Metronidazole, Tetracycline, Tobramycin, Cilastatin, Cefaclor]"
76,Irritable Bowel Syndrome (IBS),"[Nortriptyline, Dicyclomine, Hyoscyamine, Rifaximin, Trimebutine, Paroxetine, Pinaverium, Amitriptyline, Clidinium, Desipramine]"
77,Leukemia Acute Myeloid Leukemia (AML),"[Etoposide, Topotecan, Cytarabine, Decitabine, Midostaurin, Azacitidine, Idarubicin, Daunorubicin, Gemtuzumab ozogamicin, Mitoxantrone]"
78,Elevated Intraocular Pressure,"[Dorzolamide, Betaxolol, Pilocarpine, Brimonidine, Diclofenamide, Brinzolamide, Tafluprost, Dipivefrin, Travoprost, Timolol]"
79,Bleeding,"[Coagulation factor VIIa Recombinant Human, Epinephrine, Antihemophilic factor, human recombinant, Desmopressin, Von Willebrand Factor Human, Nitroprusside, Catridecacog, Aminocaproic Acid, Tranexamic acid, Susoctocog alfa]"
80,Myocardial Infarction,"[Ramipril, Alirocumab, Metoprolol, Niacin, Atorvastatin, Pravastatin, Rivaroxaban, Atenolol, Perindopril, Acetylsalicylic acidCommonly known or available as Aspirin]"
81,Gastro-esophageal Reflux Disease (GERD),"[Lansoprazole, Omeprazole, Nizatidine, Ranitidine, Sucralfate, Cimetidine, Pantoprazole, Famotidine, Rabeprazole, Esomeprazole]"
82,Atopic Dermatitis (AD),"[Fluocinolone acetonide, Dexamethasone, Clioquinol, Methylprednisolone, Prednisolone, Ciclosporin, Triamcinolone, Prednisone, Hydrocortisone, Hydrocortisone butyrate]"
83,Acute Rhinitis,"[Hyoscyamine, Chlorcyclizine, Mepyramine, Doxylamine, Clemastine, Zinc, Brompheniramine, Diclofenac, Pheniramine, Camphor]"
84,"Pain, Acute","[Sufentanil, Celecoxib, Etodolac, Carisoprodol, Tramadol, Ropivacaine, Indometacin, Ketorolac, Ibuprofen, Hydrocodone]"
85,Tuberculosis Infection,"[Dexamethasone, Methylprednisolone, Amikacin, Aminosalicylic Acid, Prednisolone, Streptomycin, Triamcinolone, Levofloxacin, Rifabutin, Capreomycin]"
86,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB),"[Gemifloxacin, Cefuroxime, Cefprozil, Clarithromycin, Ofloxacin, Cefditoren, Levofloxacin, Ceftibuten, Cefpodoxime]"
87,Deep Vein Thrombosis (DVT),"[Tinzaparin, Nadroparin, Desirudin, Apixaban, Fondaparinux, Dalteparin, Enoxaparin, Rivaroxaban, Edoxaban]"
88,Osteoporosis,"[Alendronic acid, Risedronic acid, Ibandronate, Conjugated estrogens, Zoledronic acid, Salmon Calcitonin, Romosozumab, Raloxifene, Teriparatide]"
89,Ocular Hypertension,"[Levobunolol, Unoprostone, Bimatoprost, Apraclonidine, Latanoprost, Brinzolamide, Dipivefrin, Metipranolol, Timolol]"
90,Mixed manic depressive episode,"[Olanzapine, Aripiprazole, Ziprasidone, Carbamazepine, Cariprazine, Quetiapine, Clonazepam, Risperidone, Asenapine]"
91,Disseminated Sclerosis,"[Peginterferon beta-1a, Teriflunomide, Fingolimod, Dimethyl fumarate, Dalfampridine, Glatiramer, Azathioprine, Cannabidiol, Methotrexate]"
92,Pheochromocytomas,"[Vincristine, Propranolol, Cyclophosphamide, Clonidine, Dacarbazine, Labetalol, Metyrosine, Phentolamine, Phenoxybenzamine]"
93,Chronic Stable Angina Pectoris,"[Nifedipine, Carvedilol, Labetalol, Diltiazem, Verapamil, Nicardipine, Bisoprolol, Acebutolol, Amlodipine]"
94,Pericarditis,"[Prednisolone, Triamcinolone, Prednisone, Diclofenac, Azathioprine, Ibuprofen, Benzylpenicillin, Colchicine, Acetylsalicylic acidCommonly known or available as Aspirin]"
95,Hypercalcemia of Malignancy,"[Risedronic acid, Ibandronate, Betamethasone, Zoledronic acid, Prednisolone, Prednisone, Pamidronic acid, Clodronic acid, Hydrocortisone]"
96,Unresectable Melanoma,"[Pembrolizumab, Cobimetinib, Nivolumab, Ipilimumab, Encorafenib, Trametinib, Binimetinib, Dabrafenib, Vemurafenib]"
97,"Ophthalmia, Sympathetic","[Tetracosactide, Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
98,Bacterial Infection Due to Helicobacter Pylori (H. Pylori),"[Lansoprazole, Omeprazole, Nizatidine, Pantoprazole, Famotidine, Metronidazole, Rabeprazole, Tetracycline, Esomeprazole]"
99,Nausea and vomiting,"[Droperidol, Aprepitant, Granisetron, Methotrimeprazine, Dronabinol, Chlorpromazine, Hydroxyzine, Trimethobenzamide, Mirtazapine]"
100,Endometriosis,"[Buserelin, Norethisterone, Norgestrel, Goserelin, Danazol, Levonorgestrel, Drospirenone, Leuprolide, Nafarelin]"
101,Alcohol Withdrawal Syndrome(AWS),"[Lorazepam, Chloral hydrate, Diazepam, Oxazepam, Hydroxyzine, Carbamazepine, Phenobarbital, Chlordiazepoxide, Atenolol]"
102,Acne Rosacea,"[Dexamethasone, Loteprednol, Isotretinoin, Methylprednisolone, Prednisolone, Doxycycline, Ivermectin, Metronidazole, Tetracycline]"
103,Pityriasis versicolor,"[Miconazole, Econazole, Ciclopirox, Butenafine, Tolnaftate, Sulconazole, Terbinafine, Selenium Sulfide, Oxiconazole]"
104,Mixed hypercholesterolemia,"[Rosuvastatin, Ezetimibe, Niacin, Fluvastatin, Fenofibrate, Atorvastatin, Pravastatin, Pitavastatin, Simvastatin]"
105,Acute Lymphoblastic Leukaemias (ALL),"[Etoposide, Mercaptopurine, Cyclophosphamide, Doxorubicin, Asparaginase Escherichia coli, Prednisone, Ponatinib, Pegaspargase, Dasatinib]"
